Address;City;Company;Name Full;Phone;Plus4;State;Zip;MD_PlaceCode;MD_LocationType;MD_MelissaAddressKeyBase;MD_Plus4;MD_MelissaAddressKey;MD_TotalSalesEstimate;MD_Phone;MD_NAICSCode1;MD_SICDescription1;MD_CountyName;MD_WebAddress;MD_CensusBlock;MD_Suite;MD_NAICSDescription1;MD_DeliveryIndicator;MD_CensusTract;MD_SICDescription2;MD_SICDescription3;MD_Latitude;MD_StockTicker;MD_PostalCode;MD_SICCode2;MD_SICCode1;MD_SICCode3;MD_PlaceName;MD_Longitude;MD_NAICSDescription3;MD_CountyFIPS;MD_NAICSDescription2;MD_State;MD_AddressLine1;MD_TotalEmployeesEstimate;MD_CompanyName;MD_City;MD_NAICSCode3;MD_NAICSCode2;MD_Results
2159 Kinsey St               ;Philadelphia   ;Shanaaz Auto Body             ;;2157440400;4044;PA;19124;60000                                             ;3                                                 ;                                                  ;4044                                              ;7841017437                                        ;423000                                            ;2157440400                                        ;81112102                                          ;AUTOMOBILE BODY-REPAIRING & PAINTING              ;Philadelphia                                      ;                                                  ;3016                                              ;                                                  ;AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT    ;                                                  ;029400                                            ;                                                  ;                                                  ;40.00826                                          ;                                                  ;19124     ;                                                  ;753201                                            ;                                                  ;Philadelphia                                      ;-75.08148                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;2159 Kinsey St                                    ;3                                                 ;Shanaaz Auto Body                                 ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
PO Box 592                   ;Downingtown    ;Eagle Tool & Die Co Inc       ;Reiteleach Eric       ;6106471238;592;PA;19335;                                                  ;3                                                 ;7333165808                                        ;0592                                              ;6665968468                                        ;737000                                            ;6106471238                                        ;33271002                                          ;MACHINE SHOPS (MFRS)                              ;Chester                                           ;                                                  ;2033                                              ;                                                  ;MACHINE SHOPS                                     ;                                                  ;304000                                            ;SHEET METAL FABRICATORS (MFRS)                    ;TOOL & DIE MAKERS (MFRS)                          ;40.002                                            ;                                                  ;19335     ;344403                                            ;359903                                            ;354407                                            ;                                                  ;-75.68802                                         ;SPECIAL DIE & TOOL, DIE SET, JIG & FIXTURE MFG    ;42029                                             ;SHEET METAL WORK MANUFACTURING                    ;PA                                                ;PO Box 592                                        ;5                                                 ;Eagle Tool & Die Co. Inc.                         ;Downingtown                                       ;33351413                                          ;33232204                                          ;AS01,AS20,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS10 
1018 Middletown Rd           ;Glen Mills     ;Rick's Lawn & Tree Svc        ;;6105257155;;PA;19342;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19342     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;1018 Middletown Rd                                ;                                                  ;Rick's Lawn & Tree Svc.                           ;Glen Mills                                        ;                                                  ;                                                  ;AE10,FE01                                         
9 Route H                    ;Greenfield     ;Suzy Q's Hair Care            ;Jankins Suzanne       ;4176372973;;MO;65661;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;65661     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;MO                                                ;9 Route H                                         ;                                                  ;Suzy Q'S Hair Care                                ;Greenfield                                        ;                                                  ;                                                  ;AE10,FE01                                         
3819 Germantown Pike # A     ;Collegeville   ;Prager Mircosystems LLC       ;Prager Stephen        ;6104091605;4500;PA;19426;24240                                             ;3                                                 ;9304847676                                        ;4500                                              ;9499029768                                        ;1550000                                           ;6104091605                                        ;54151217                                          ;WEBSITE DESIGN SERVICE                            ;Montgomery                                        ;www.pragermicrosystems.com                        ;1028                                              ;Ste A                                             ;COMPUTER SYSTEMS DESIGN SERVICES                  ;                                                  ;210700                                            ;E-COMMERCE                                        ;INTERNET SERVICE                                  ;40.18172                                          ;                                                  ;19426     ;596104                                            ;737311                                            ;737415                                            ;Evansburg                                         ;-75.42989                                         ;DATA PROCESSING, HOSTING & RELATED SERVICES       ;42091                                             ;ELECTRONIC SHOPPING                               ;PA                                                ;3819 Germantown Pike                              ;7                                                 ;Prager Mircosystems LLC                           ;Collegeville                                      ;51821013                                          ;45411101                                          ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
12501 Torrey Rd              ;Philadelphia   ;Fitzpatrick Playground        ;Albertelli Lisa       ;2156859395;;PA;19154;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19154     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;12501 Torrey Rd                                   ;                                                  ;Fitzpatrick Playground                            ;Philadelphia                                      ;                                                  ;                                                  ;AE04,FE01                                         
1028 S 9th St                ;Philadelphia   ;Alianza Express               ;Lucero Sylvester      ;2159222211;4723;PA;19147;60000                                             ;3                                                 ;                                                  ;4723                                              ;1148074149                                        ;1043000                                           ;2159222211                                        ;52232008                                          ;MONEY ORDER SERVICE                               ;Philadelphia                                      ;                                                  ;3021                                              ;                                                  ;FINANCIAL TRNSCTNS PROCNG, RESERVE/CLRNGHS ACTVTS ;                                                  ;002400                                            ;                                                  ;                                                  ;39.93683                                          ;                                                  ;19147     ;                                                  ;609902                                            ;                                                  ;Philadelphia                                      ;-75.15847                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;1028 S 9th St                                     ;2                                                 ;Alianza Express                                   ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
116 W Commercial St          ;Everton        ;City Hall                     ;Wilson Norman         ;4175356025;7149;MO;65646;22996                                             ;3                                                 ;                                                  ;7149                                              ;5081552878                                        ;                                                  ;4175356025                                        ;92111001                                          ;CITY GOVERNMENT-EXECUTIVE OFFICES                 ;Dade                                              ;                                                  ;1132                                              ;                                                  ;EXECUTIVE OFFICES                                 ;                                                  ;480100                                            ;GOVERNMENT OFFICES-CITY, VILLAGE & TWP            ;FEDERAL GOVERNMENT CONTRACTORS                    ;37.340868                                         ;                                                  ;65646     ;912104                                            ;911104                                            ;999966                                            ;Everton                                           ;-93.703557                                        ;UNCLASSIFIED ESTABLISHMENTS                       ;29057                                             ;GOVERNMENT OFFICES-CITY, VILLAGE & TWP            ;MO                                                ;116 W Commercial St                               ;3                                                 ;"Everton City Hall; FAX                            ";Everton                                           ;99999005                                          ;92112006                                          ;AS01,AS17,FS01,FS02,FS04,FS05,GS06,PS01,PS08,PS11 
28 E Germantown Pike         ;East Norriton  ;Starbucks                     ;Caldwell Sarah        ;6102758828;1512;PA;19401;                                                  ;1                                                 ;                                                  ;1512                                              ;9766339939                                        ;697000                                            ;6102758828                                        ;72251505                                          ;COFFEE SHOPS                                      ;Montgomery                                        ;www.starbucks.com                                 ;2010                                              ;                                                  ;SNACK & NONALCOHOLIC BEVERAGE BARS                ;                                                  ;203303                                            ;COFFEE & TEA                                      ;RESTAURANTS                                       ;40.140381                                         ;                                                  ;19401     ;549915                                            ;581228                                            ;581208                                            ;                                                  ;-75.310817                                        ;LIMITED-SERVICE RESTAURANTS                       ;42091                                             ;ALL OTHER SPECIALTY FOOD STORES                   ;PA                                                ;28 E Germantown Pike                              ;13                                                ;Starbucks                                         ;Norristown                                        ;72251301                                          ;44529905                                          ;AS01,FS01,FS02,FS04,FS05,GS06,PS01,PS08,PS11      
858 N 3rd St                 ;Philadelphia   ;Operation Ava                 ;;2675190376;2204;PA;19123;60000                                             ;3                                                 ;                                                  ;2204                                              ;7017429975                                        ;                                                  ;2675190376                                        ;81331204                                          ;ANIMAL ADOPTIONS                                  ;Philadelphia                                      ;                                                  ;2009                                              ;                                                  ;ENVIRONMENT, CONSERVATION & WILDLIFE ORGANIZATIONS;                                                  ;036700                                            ;                                                  ;                                                  ;39.9649                                           ;                                                  ;19123     ;                                                  ;869927                                            ;                                                  ;Philadelphia                                      ;-75.14276                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;858 N 3rd St                                      ;5                                                 ;Operation Ava                                     ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS12      
222 W Lancaster Ave # 201    ;Paoli          ;Art of Exotic Dancing         ;;6100001111;1742;PA;19301;57816                                             ;3                                                 ;2001729867                                        ;1742                                              ;1830009530                                        ;179000                                            ;6103561051                                        ;61161011                                          ;DANCING INSTRUCTION                               ;Chester                                           ;                                                  ;1016                                              ;Ste 201                                           ;FINE ART SCHOOLS                                  ;                                                  ;300303                                            ;                                                  ;                                                  ;40.04121                                          ;                                                  ;19301     ;                                                  ;791101                                            ;                                                  ;Paoli                                             ;-75.49391                                         ;                                                  ;42029                                             ;                                                  ;PA                                                ;222 W Lancaster Ave                               ;4                                                 ;Art of Exotic Dancing                             ;Paoli                                             ;                                                  ;                                                  ;AS01,AS16,FS01,FS02,FS04,GS05,PS01,PS08,PS10      
130 City Hall                ;Philadelphia   ;Philadelphia City Commissioner;Tartaglione Margaret  ;2156863460;3213;PA;19107;60000                                             ;3                                                 ;                                                  ;3213                                              ;7672286370                                        ;                                                  ;2156863460                                        ;92112006                                          ;GOVERNMENT OFFICES-CITY, VILLAGE & TWP            ;Philadelphia                                      ;www.phila.gov                                     ;1010                                              ;                                                  ;GOVERNMENT OFFICES-CITY, VILLAGE & TWP            ;                                                  ;000500                                            ;                                                  ;                                                  ;39.953347                                         ;                                                  ;19107     ;                                                  ;912104                                            ;                                                  ;Philadelphia                                      ;-75.16403                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;130 City Hall                                     ;7                                                 ;Philadelphia City Commissioner                    ;Philadelphia                                      ;                                                  ;                                                  ;AS01,AS17,FS01,FS02,FS04,FS05,GS06,PS01,PS08,PS11 
6715 Essington Ave           ;Philadelphia   ;Hyundai Pacifico              ;Pacifico Kerry        ;2153650300;3407;PA;19153;60000                                             ;3                                                 ;                                                  ;3407                                              ;4499772258                                        ;20059000                                          ;2153650300                                        ;44111001                                          ;AUTOMOBILE DEALERS-NEW CARS                       ;Philadelphia                                      ;                                                  ;1078                                              ;                                                  ;NEW CAR DEALERS                                   ;                                                  ;980900                                            ;AUTOMOBILE LEASING                                ;                                                  ;39.91173                                          ;                                                  ;19153     ;751404                                            ;551102                                            ;                                                  ;Philadelphia                                      ;-75.222646                                        ;                                                  ;42101                                             ;PASSENGER CAR RENTAL                              ;PA                                                ;6715 Essington Ave                                ;35                                                ;Hyundai Pacifico                                  ;Philadelphia                                      ;                                                  ;53211105                                          ;AS01,FS01,FS02,FS04,FS05,GS06,PS01,PS08,PS11      
2457 N 27th St               ;Philadelphia   ;Pure Sound Music Group        ;;2676395812;3503;PA;19132;60000                                             ;                                                  ;                                                  ;3503                                              ;9975783558                                        ;                                                  ;2676395812                                        ;                                                  ;ENTERTAINERS                                      ;Philadelphia                                      ;                                                  ;2002                                              ;                                                  ;                                                  ;                                                  ;016901                                            ;                                                  ;                                                  ;39.99345                                          ;                                                  ;19132     ;                                                  ;792918                                            ;                                                  ;Philadelphia                                      ;-75.17603                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;2457 N 27th St                                    ;                                                  ;Pure Sound Music Group PSMG Radio                 ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS11      
175 W Wingohocking St        ;Philadelphia   ;T P Auto Sales                ;;2154553464;;PA;19140;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19140     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;175 W Wingohocking St                             ;                                                  ;T P Auto Sales                                    ;Philadelphia                                      ;                                                  ;                                                  ;AE10,FE01                                         
344 Mall Blvd                ;King of Prussia;Marmi Shoes                   ;;6109921666;;PA;19406;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19406     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;344 Mall Blvd                                     ;                                                  ;Marmi Shoes                                       ;King Of Prussia                                   ;                                                  ;                                                  ;AE10,FE01                                         
5901 Belden St               ;Philadelphia   ;Atm                           ;;2150001111;3704;PA;19149;60000                                             ;3                                                 ;                                                  ;3704                                              ;3114162121                                        ;1043000                                           ;2152898594                                        ;52232003                                          ;CHECK CASHING SERVICE                             ;Philadelphia                                      ;www.fastcash.org                                  ;3005                                              ;                                                  ;FINANCIAL TRNSCTNS PROCNG, RESERVE/CLRNGHS ACTVTS ;                                                  ;031102                                            ;                                                  ;                                                  ;40.03439                                          ;                                                  ;19149     ;                                                  ;609903                                            ;                                                  ;Philadelphia                                      ;-75.08521                                         ;                                                  ;42101                                             ;                                                  ;PA                                                ;5901 Belden St                                    ;2                                                 ;Fast Cash                                         ;Philadelphia                                      ;                                                  ;                                                  ;AS01,FS01,FS04,GS05,PS01,PS08,PS11                
W Kings Hwy                  ;Coatesville    ;Rob Lynch Flooring            ;Lynch Robert          ;6103845538;;PA;19320;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19320     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;W Kings Hwy                                       ;                                                  ;Rob Lynch Flooring                                ;Coatesville                                       ;                                                  ;                                                  ;AE11,FE01                                         
910 Sunset Hollow Rd         ;West Chester   ;Carol Habig's Flora           ;;6104319987;1850;PA;19380;                                                  ;3                                                 ;                                                  ;1850                                              ;4645651640                                        ;                                                  ;6104319987                                        ;99999004                                          ;NONCLASSIFIED ESTABLISHMENTS                      ;Chester                                           ;                                                  ;1019                                              ;                                                  ;UNCLASSIFIED ESTABLISHMENTS                       ;                                                  ;303902                                            ;                                                  ;                                                  ;39.98133                                          ;                                                  ;19380     ;                                                  ;999977                                            ;                                                  ;                                                  ;-75.6546                                          ;                                                  ;42029                                             ;                                                  ;PA                                                ;910 Sunset Hollow Rd                              ;                                                  ;Carol Habig's Flora                               ;West Chester                                      ;                                                  ;                                                  ;AS01,FS01,FS02,FS04,FS05,GS05,PS01,PS08,PS10      
5501 Old York Rd # B9        ;Philadelphia   ;Albert Einstein Emergency Dept;Yazdanfar Shahriar MD ;2154566336;3018;PA;19141;60000                                             ;3                                                 ;                                                  ;3018                                              ;9702508698                                        ;529000                                            ;2154566336                                        ;62111107                                          ;PHYSICIANS & SURGEONS                             ;Philadelphia                                      ;www.einstein.edu                                  ;3013                                              ;Ste 1                                             ;OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS)   ;                                                  ;028200                                            ;SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC          ;FEDERAL GOVERNMENT CONTRACTORS                    ;40.036789                                         ;                                                  ;19141     ;822101                                            ;801101                                            ;999966                                            ;Philadelphia                                      ;-75.143213                                        ;                                                  ;42101                                             ;OFFICES OF OTHER HOLDING COMPANIES                ;PA                                                ;5501 Old York Rd                                  ;3                                                 ;Albert Einstein Emergency Dept.                   ;Philadelphia                                      ;                                                  ;551112                                            ;AS01,FS01,FS02,FS04,FS05,GS05,PS02,PS08           
734 N Chester Rd             ;West Chester   ;Food Source Intl Inc          ;;4846312005;;PA;19380;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19380     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;734 N Chester Rd                                  ;                                                  ;Food Source Intl. Inc.                            ;West Chester                                      ;                                                  ;                                                  ;AE10,FE01                                         
5190 Highway 5               ;Hartville      ;Willey's Quick Stop           ;Willey Kaye           ;4177417155;;MO;65667;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;65667     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;MO                                                ;5190 Highway 5                                    ;                                                  ;Willey's Quick Stop                               ;Hartville                                         ;                                                  ;                                                  ;AE10,FE01                                         
831 Baltimore Pike           ;Glen Mills     ;Sun East Federal Credit Union ;;6105581395;;PA;19342;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;19342     ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;                                                  ;PA                                                ;831 Baltimore Pike                                ;                                                  ;Sun East Federal Credit Union                     ;Glen Mills                                        ;                                                  ;                                                  ;AE10,FE01                                         
